52.74,-5.12,38.99,-19.73,22.92,73.32,66.67
65.79,8.96,8.00,40.83,16.40,-16.56,67.48
51.96,66.10,41.24,41.37,54.42,69.76,38.89
16.75,-19.54,59.86,16.97,6.49,-16.87,53.41
32.34,47.03,64.90,72.71,71.02,-17.43,57.04
-21.11,33.41,35.67,65.98,1.58,66.83,47.10
44.40,-3.56,30.97,24.99,35.26,-7.28,-14.30
-17.42,-3.50,-17.03,-9.91,16.76,-21.12,0.42
-23.91,36.80,-3.10,-23.02,72.00,-18.59,51.46
-2.68,1.31,23.64,-16.69,-3.75,58.87,-9.69
70.13,61.55,-11.10,57.77,12.97,12.42,37.29
56.75,17.11,17.11,26.49,14.45,12.54,-8.07
38.62,9.60,-7.46,60.08,33.87,56.90,15.89
-22.13,-0.01,4.22,-24.11,46.37,59.07,12.97
72.43,19.81,48.92,25.16,-15.66,70.54,24.61
17.18,19.87,-16.82,-13.90,33.53,37.78,-1.86
32.70,55.84,-11.77,-12.76,31.28,5.94,11.53
51.05,34.66,-20.34,41.43,64.17,42.97,36.29
-16.82,-10.76,7.41,47.62,-24.41,8.59,-15.61
25.04,2.38,15.25,72.58,71.09,-23.34,19.71
46.51,-2.36,36.36,7.35,0.96,19.99,22.00
42.60,-4.73,8.84,-9.29,36.18,27.20,54.82
39.04,39.36,49.56,66.02,42.02,10.99,36.54
46.30,69.92,3.27,36.48,-19.36,14.65,18.71
3.84,15.00,27.38,25.84,35.22,38.46,45.20
71.74,-11.28,3.50,41.37,66.65,-10.65,61.76
37.60,3.70,69.01,0.59,1.42,16.70,12.11
-5.22,60.64,46.19,-9.39,3.08,-10.89,10.05
30.84,68.83,48.48,14.42,34.74,71.13,68.78
4.54,28.00,-17.40,51.44,-22.96,51.66,0.73
18.09,-9.12,-7.93,-21.60,34.57,60.89,24.64
6.19,61.69,-23.62,49.91,18.96,18.07,49.15
53.35,43.40,70.02,7.20,56.01,50.17,-3.84
57.71,63.62,-0.54,-21.74,44.14,27.02,63.22
15.10,-19.63,24.71,13.49,39.76,1.40,65.47
46.71,19.17,-3.96,67.13,21.94,23.34,38.47
64.47,-18.36,37.35,36.08,42.05,-12.92,64.09
70.22,-24.40,23.57,47.07,38.78,69.97,52.34
7.19,61.35,-8.73,45.33,21.54,5.00,-23.36
43.98,15.99,-21.78,49.65,-21.45,4.09,18.58
54.04,42.98,48.14,-17.76,44.00,46.61,-14.89
42.89,63.90,26.51,31.60,35.61,57.45,10.05
3.41,34.54,71.59,39.27,24.88,-14.47,30.86
21.25,-7.76,-17.00,-20.91,19.83,68.98,63.25
